epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3320.66,1.80582,0.90399,1.10802,0.67508,0.46995,0.51777,0.26351,1.84497,0.73052,1.02479,0.0005149,0.0005149,0.0005149
100,3352.65,1.77896,0.89254,1.09973,0.69235,0.69502,0.56082,0.2954,1.84664,0.73704,1.02622,0.00050995,0.00050995,0.00050995
101,3386.1,1.79171,0.89583,1.095,0.77333,0.67954,0.60146,0.32828,1.85719,0.74399,1.03014,0.000505,0.000505,0.000505
102,3418.66,1.79179,0.88183,1.09944,0.67986,0.46921,0.49135,0.2672,1.84878,0.74164,1.02588,0.00050005,0.00050005,0.00050005
103,3450.53,1.79393,0.87208,1.09477,0.69638,0.45393,0.53585,0.28317,1.8428,0.73268,1.02432,0.0004951,0.0004951,0.0004951
104,3483.66,1.79346,0.89526,1.10499,0.40406,0.53776,0.52708,0.28844,1.84298,0.72785,1.02426,0.00049015,0.00049015,0.00049015
105,3515.37,1.78593,0.87396,1.10412,0.64483,0.57112,0.52462,0.27822,1.85916,0.74214,1.02766,0.0004852,0.0004852,0.0004852
106,3548.92,1.79186,0.87992,1.09859,0.6131,0.45609,0.47544,0.24969,1.8735,0.74786,1.03235,0.00048025,0.00048025,0.00048025
107,3582.6,1.76581,0.86726,1.08991,0.67983,0.47595,0.50584,0.26574,1.86369,0.74154,1.02952,0.0004753,0.0004753,0.0004753
108,3614.8,1.78019,0.86869,1.09413,0.68091,0.4632,0.47323,0.25758,1.84421,0.73819,1.0233,0.00047035,0.00047035,0.00047035
109,3647.75,1.77033,0.86574,1.09016,0.48159,0.71558,0.60125,0.33216,1.85398,0.73673,1.0252,0.0004654,0.0004654,0.0004654
110,3681.74,1.76644,0.87363,1.10399,0.95263,0.447,0.46955,0.25667,1.84419,0.73375,1.02308,0.00046045,0.00046045,0.00046045
111,3714.29,1.77773,0.86123,1.0962,0.65479,0.46378,0.45595,0.24361,1.84481,0.73413,1.02207,0.0004555,0.0004555,0.0004555
112,3746.14,1.77577,0.87117,1.09311,0.90782,0.4289,0.43954,0.22377,1.85073,0.74382,1.02601,0.00045055,0.00045055,0.00045055
113,3780.88,1.75818,0.86422,1.08816,0.68334,0.46493,0.47831,0.25613,1.83473,0.72745,1.01884,0.0004456,0.0004456,0.0004456
114,3813.06,1.75906,0.87738,1.09962,0.93228,0.46461,0.57285,0.30411,1.83792,0.73284,1.02138,0.00044065,0.00044065,0.00044065
115,3845.81,1.75896,0.85551,1.10114,0.66917,0.45414,0.4567,0.23266,1.84967,0.74031,1.02655,0.0004357,0.0004357,0.0004357
